1344,95.55,95.11,94.07,44.79,8.56,4467311
1394,95.52,94.7,92.48,53.47,14.15,4478499
1406,95.59,95.23,94.45,58.86,16.7,4533448
1409,95.47,94.57,92.2,50.68,12.46,4453624
2003,95.54,95.02,93.7,36.91,5.96,5148566
2017,95.55,95.13,94.17,47.97,10.32,4534297
2021,95.54,94.89,93.08,62.46,21.65,4596170
2023,95.58,95.23,94.46,56.04,15.57,4524703
2024,95.47,94.48,91.96,47.24,10.75,4461720
2042,95.52,95.01,93.7,34.44,5.1,4516518
2048,92.53,91.13,87.99,32.4,5.32,4451862
2052,95.41,94.24,91.45,40.99,7.77,4455552
2059,95.54,95.07,93.95,41.42,7.6,4508288
2063,95.56,95.11,94.06,44.05,8.57,4964797
2066,95.59,95.24,94.52,57.28,15.21,4578572
2072,95.53,94.84,92.95,60.88,20.61,4541841
2074,95.26,93.46,89.66,21.92,2.5,5264451
2077,95.31,93.75,90.28,27.67,3.65,4537322
2078,95.25,93.45,89.6,21.79,2.42,4475266
2087,95.02,92.59,87.56,12.94,1.27,4354335
2102,95.29,93.65,90.1,25.71,3.12,4426461
2134,95.44,94.34,91.63,40.96,7.54,4469086
2142,95.52,94.68,92.45,52.03,13.11,4542885
2145,95.41,94.17,91.21,35.94,5.65,4513502
2152,95.45,94.33,91.56,40.22,7.12,4494935
2155,95.12,92.9,88.29,15.23,1.53,4538223
2157,95.36,94.25,90.52,10.27,1.06,5296890
2161,95.55,95.14,94.24,50.38,11.23,4534743
2162,95.49,94.77,92.83,59.89,19.68,4455092
2166,95.35,94.06,91.04,36.74,6.21,4366304
2168,95.51,94.79,92.87,60.93,20.56,4919061
2170,95.47,94.62,92.4,53.56,14.24,4392386
2171,95.48,94.87,93.27,29.41,3.81,4443040
2173,95.38,94.2,91.39,40.82,7.59,4498521
2179,95.09,93.21,86.55,4.82,0.66,5100796
2181,95.07,92.9,88.45,17.28,1.77,4363444
2184,95.47,94.84,93.17,27.48,3.38,4604968
2185,95.4,94.59,92.27,20.43,2.16,5247534
2193,95.53,95.07,93.97,41.94,7.6,4436753
2194,95.62,95.26,94.23,78.6,47.11,4541079
2196,95.56,94.92,93.14,62.94,22.22,4618226
2198,95.51,94.96,93.53,31.59,4.38,4469086
2208,95.5,94.73,92.78,62.85,25.75,4473492
2214,95.48,94.88,93.31,29.07,3.79,4418932
2221,95.41,94.55,91.75,22.28,2.8,4429597
2239,95.41,94.1,91.1,36.17,6.06,5355809
2257,95.38,94.22,91.62,57.99,23.46,5433372
2261,95.61,95.3,94.67,65.48,22.73,4670909
2269,95.12,93.08,88.87,28.27,4.59,4434326
2517,95.23,93.36,89.42,20.95,2.3,4415698
1001,96.71,94.37,92.6,82.15,76.12,69438
1004,96.55,94.06,92.19,81.31,75.1,68521
1007,96.82,94.57,92.87,82.77,76.96,69604
1010,97.43,95.68,94.38,86.59,82.06,73825
1017,96.81,94.55,92.87,83.03,77.42,69206
1023,97.02,94.95,93.4,84.16,78.82,71874
1024,96.94,94.84,93.29,84.31,79.25,68938
1026,96.63,94.24,92.47,81.96,75.9,69249
1029,97.26,95.37,93.95,85.45,80.53,75058
1035,96.6,94.15,92.34,81.68,75.59,69913
1040,96.61,94.25,92.48,82.01,75.99,69385
1046,97.09,95.05,93.53,84.63,79.59,71106
1051,96.8,94.45,92.7,82.68,77.02,71248
1071,96.43,93.77,91.8,80.45,74.04,67379
1072,97.34,95.34,93.84,84.87,79.66,77026
1073,96.35,93.64,91.61,79.76,72.93,68646
1077,96.06,93.12,90.92,78.29,71.12,67301
1088,95.03,91.24,88.42,71.77,62.19,60062
1093,93.24,88.13,84.36,62.37,50.49,53901
1107,96.74,94.52,92.86,83.1,77.47,65621
1109,96.82,94.66,93.05,83.67,78.32,69007
1112,96.87,94.78,93.21,84.12,78.93,66839
1113,97.02,95.04,93.54,84.7,79.54,68928
1114,97.11,95.19,93.75,85.33,80.48,69290
1116,96.84,94.67,93.04,83.49,77.97,69385
1117,96.78,94.59,92.97,83.73,78.57,67162
1121,96.71,94.47,92.79,82.85,77.14,68750
1123,97.18,95.32,93.94,85.66,80.9,72776
1126,96.53,94.17,92.41,82.22,76.39,67032
1127,96.4,93.94,92.12,81.61,75.67,67164
1128,97.14,95.2,93.76,85.24,80.35,71013
1139,95.89,92.72,90.32,76.2,68.03,65080
1142,96.15,93.3,91.17,78.78,71.68,65331
1143,97.03,94.9,93.31,83.82,78.32,70712
1144,95.4,92.04,89.59,75.36,67.14,61345
1147,95.59,92.27,89.81,75.74,67.77,62071
1153,94.47,90.47,87.51,70.86,61.56,56931
1155,94.62,90.71,87.86,71.83,62.9,57847
1157,94.41,90.35,87.37,70.63,61.42,57781
1161,96.91,94.61,92.86,82.17,75.93,73263
1167,94.44,90.26,87.16,69.29,59.27,58370
1169,95.9,92.79,90.48,77.04,69.38,65678
1217,97.63,95.96,94.7,87.14,82.7,78161
1230,96.54,94.03,92.13,81,74.57,67748
1237,97.24,95.13,93.57,84.31,79.02,77070
1244,97.03,94.9,93.31,83.86,78.43,74494
1256,96.49,93.96,92.08,81.02,74.7,70013
1261,96.98,94.78,93.16,83.74,78.39,72930
1379,96.28,93.46,91.35,78.66,71.36,71346
1410,94.79,91.14,88.48,73.26,64.62,57782
