78043,93.59,89.24,84,58.65,46.24,83403
78046,93.57,89.31,84.15,58.75,46.23,88012
78047,92.92,88.24,82.62,56.22,43.7,81341
78049,92.91,88.14,82.49,56.62,44.49,84955
78050,93.31,88.62,82.98,56.84,44.55,92176
78051,92.68,87.75,81.93,55.04,42.48,90255
78053,92.69,87.54,81.45,53.83,41.23,87175
78054,94.13,90.74,86.83,68.7,59.46,93262
78055,92.65,87.55,81.4,53.23,40.35,86914
78056,93.96,89.74,84.62,59.3,46.69,84022
78057,92.65,87.7,81.9,55.8,43.7,87645
78058,97,95.36,93.48,83.3,77.06,118624
78059,92.51,87.3,81.15,54.2,42.03,84353
78060,92.65,87.41,81.1,52.04,38.83,83985
78061,92.49,87.26,81.16,53.61,41.12,84164
78062,93.36,88.72,83.14,56.72,44.22,86153
78063,92.69,87.84,82.1,55.93,43.69,85875
78064,93.46,89.28,84.31,60.12,47.99,85785
78065,91.72,86.01,79.25,49.45,36.49,81253
78066,96.7,95.01,93.1,83.36,77.64,124338
78067,91.99,86.71,80.64,54.29,42.32,86142
78068,90.94,84.84,78.09,50.87,39.24,86756
78069,93.52,89.2,84.02,59.7,47.94,86815
78070,92.84,88.17,82.72,57.93,46.17,87151
78071,93.51,89.09,83.73,58.49,46.32,91033
78072,93.16,88.34,82.61,56.47,44.36,89356
78073,92.77,87.64,81.49,53.3,40.47,85278
78074,96.53,94.53,92.21,80.06,72.96,117393
78075,93.05,88.33,82.65,55.73,42.98,87258
78076,92.77,88.04,82.5,57.22,45.26,88524
78077,93.29,88.81,83.51,58.73,46.74,87924
78078,92.95,88.16,82.5,56.92,44.93,88781
78079,92.89,88.15,82.45,55.62,42.89,87573
78080,93.46,88.79,83.12,56.4,43.79,87663
78081,96.16,93.95,91.3,76.31,67.26,106679
78082,93.59,89.19,83.97,59.57,47.64,92910
78083,93.26,88.45,82.59,54.85,41.74,88211
78084,93.28,88.66,83.13,56.87,44.24,86855
78085,93.46,89.01,83.59,57.04,44.07,88436
78086,93.06,88.22,82.39,55.11,42.35,85356
78087,92.48,87.23,81.13,54.2,42.05,87117
78089,93.08,87.99,81.83,52.95,39.64,86594
78090,93.48,88.81,82.99,54.78,41.42,83468
78095,95.98,93.66,90.97,76.95,68.97,104742
78096,91.85,86.28,79.86,52.23,39.96,81984
78768,92.77,87.62,81.46,53.07,40.14,86654
78769,92.53,87.37,81.31,54.2,41.8,85803
78770,94.14,90.63,86.52,66.73,56.49,85559
